"Name";"DisplayName";"Status"
"AJRouter";"AllJoyn Router Service";"Stopped"
"ALG";"Application Layer Gateway Service";"Stopped"
"AppIDSvc";"Application Identity";"Stopped"
"Appinfo";"Application Information";"Running"
"AppMgmt";"Application Management";"Running"
"AppReadiness";"App Readiness";"Stopped"
"AppVClient";"Microsoft App-V Client";"Stopped"
"AppXSvc";"AppX Deployment Service (AppXSVC)";"Stopped"
"aspnet_state";"ASP.NET State Service";"Stopped"
"AssignedAccessManagerSvc";"AssignedAccessManager Service";"Stopped"
"AudioEndpointBuilder";"Windows Audio Endpoint Builder";"Running"
"Audiosrv";"Windows Audio";"Running"
"AxInstSV";"ActiveX Installer (AxInstSV)";"Stopped"
"BcastDVRUserService_a9b9f0b";"GameDVR and Broadcast User Service_a9b9f0b";"Stopped"
"BDESVC";"BitLocker Drive Encryption Service";"Stopped"
"BFE";"Base Filtering Engine";"Running"
"BITS";"Background Intelligent Transfer Service";"Stopped"
"BluetoothUserService_a9b9f0b";"Bluetooth User Support Service_a9b9f0b";"Stopped"
"BrokerInfrastructure";"Background Tasks Infrastructure Service";"Running"
"Browser";"Computer Browser";"Running"
"BTAGService";"Bluetooth Audio Gateway Service";"Stopped"
"BthAvctpSvc";"AVCTP service";"Running"
"bthserv";"Bluetooth Support Service";"Stopped"
"camsvc";"Capability Access Manager Service";"Running"
"CaptureService_a9b9f0b";"CaptureService_a9b9f0b";"Stopped"
"CDPSvc";"Connected Devices Platform Service";"Running"
"CDPUserSvc_a9b9f0b";"Connected Devices Platform User Service_a9b9f0b";"Running"
"CertPropSvc";"Certificate Propagation";"Running"
"ClipSVC";"Client License Service (ClipSVC)";"Stopped"
"COMSysApp";"COM+ System Application";"Stopped"
"CoreMessagingRegistrar";"CoreMessaging";"Running"
"cphs";"Intel(R) Content Protection HECI Service";"Running"
"cplspcon";"Intel(R) Content Protection HDCP Service";"Running"
"CryptSvc";"Cryptographic Services";"Running"
"CscService";"Offline Files";"Stopped"
"DcomLaunch";"DCOM Server Process Launcher";"Running"
"defragsvc";"Optimize drives";"Stopped"
"DeviceAssociationService";"Device Association Service";"Running"
"DeviceInstall";"Device Install Service";"Stopped"
"DevicePickerUserSvc_a9b9f0b";"DevicePicker_a9b9f0b";"Stopped"
"DevicesFlowUserSvc_a9b9f0b";"DevicesFlow_a9b9f0b";"Stopped"
"DevQueryBroker";"DevQuery Background Discovery Broker";"Stopped"
"Dhcp";"DHCP Client";"Running"
"diagnosticshub.standardcollector.service";"Microsoft (R) Diagnostics Hub Standard Collector Service";"Stopped"
"diagsvc";"Diagnostic Execution Service";"Stopped"
"DiagTrack";"Connected User Experiences and Telemetry";"Running"
"DigitalWave.Update.Service";"Digital Wave Update Service";"Running"
"DmEnrollmentSvc";"Device Management Enrollment Service";"Stopped"
"dmwappushservice";"dmwappushsvc";"Stopped"
"Dnscache";"DNS Client";"Running"
"DoSvc";"Delivery Optimization";"Running"
"dot3svc";"Wired AutoConfig";"Running"
"DPS";"Diagnostic Policy Service";"Running"
"DsmSvc";"Device Setup Manager";"Stopped"
"DsSvc";"Data Sharing Service";"Running"
"DusmSvc";"Data Usage";"Running"
"Eaphost";"Extensible Authentication Protocol";"Running"
"EFS";"Encrypting File System (EFS)";"Running"
"embeddedmode";"Embedded Mode";"Stopped"
"EntAppSvc";"Enterprise App Management Service";"Stopped"
"esifsvc";"ESIF Upper Framework Service";"Running"
"EventLog";"Windows Event Log";"Running"
"EventSystem";"COM+ Event System";"Running"
"Fax";"Fax";"Stopped"
"fdPHost";"Function Discovery Provider Host";"Stopped"
"FDResPub";"Function Discovery Resource Publication";"Stopped"
"fhsvc";"File History Service";"Stopped"
"FontCache";"Windows Font Cache Service";"Running"
"FontCache3.0.0.0";"Windows Presentation Foundation Font Cache 3.0.0.0";"Running"
"FrameServer";"Windows Camera Frame Server";"Stopped"
"GoogleChromeElevationService";"Google Chrome Elevation Service";"Stopped"
"gpsvc";"Group Policy Client";"Running"
"GraphicsPerfSvc";"GraphicsPerfSvc";"Stopped"
"gupdate";"Google Update Service (gupdate)";"Stopped"
"gupdatem";"Google Update Service (gupdatem)";"Stopped"
"hidserv";"Human Interface Device Service";"Running"
"HvHost";"HV Host Service";"Stopped"
"icssvc";"Windows Mobile Hotspot Service";"Stopped"
"igfxCUIService2.0.0.0";"Intel(R) HD Graphics Control Panel Service";"Running"
"IKEEXT";"IKE and AuthIP IPsec Keying Modules";"Stopped"
"InstallService";"Microsoft Store Install Service";"Running"
"iphlpsvc";"IP Helper";"Running"
"IpxlatCfgSvc";"IP Translation Configuration Service";"Stopped"
"irmon";"Infrared monitor service";"Stopped"
